Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade
2012-07-20,29.91724116062943,30.276382740404227,29.71395093779439,30.147634506225586,17099600,0.0,0.0,4.166666666666667
2012-07-23,29.957897499410933,30.13408201667223,29.598755915294383,30.052764892578125,12502900,0.0,0.0,4.166666666666667
2012-07-24,30.066309900553296,30.10696845199018,29.381907753488246,29.65973472595215,14157600,0.0,0.0,4.166666666666667
2012-07-25,29.734274713272917,29.917234321031177,29.619076774339803,29.6258544921875,9595000,0.0,0.0,4.166666666666667
2012-07-26,29.978225956039257,30.296708955619565,29.971448237038718,30.127302169799805,15494800,0.0,0.0,4.166666666666667
2012-07-27,30.26282536375828,30.533877230401128,30.19506368956866,30.425457000732422,22060700,0.0,0.0,4.166666666666667
2012-07-30,30.296715086567897,30.547439041477045,30.28316223076662,30.459346771240234,10605200,0.0,0.0,4.166666666666667
2012-07-31,30.42545992161326,30.818482322539616,30.405129349450874,30.588088989257812,11603600,0.0,0.0,4.166666666666667
2012-08-01,30.784599726013575,31.448673981720432,30.533878419814783,30.635520935058594,18319100,0.0,0.0,4.166666666666667
2012-08-02,30.540662017655297,30.540662017655297,29.917246146235907,30.235729217529297,15011900,0.0,0.0,4.166666666666667
2012-08-03,30.581313699966813,30.588088834024944,30.045987636390198,30.127302169799805,12997600,0.0,0.0,4.166666666666667
2012-08-06,30.256061848908963,30.41191582734813,30.15441671364973,30.283164978027344,9577000,0.0,0.0,4.166666666666667
2012-08-07,30.357694585856525,30.391575425009624,30.073092435039673,30.134078979492188,9565000,0.0,0.0,4.166666666666667
2012-08-08,30.0392137743237,30.13408116480908,29.86302926204298,29.93756866455078,10481700,0.0,0.0,4.166666666666667
2012-08-09,29.937567841747626,30.113749764243646,29.87658129454853,30.045988082885742,8486900,0.0,0.0,4.166666666666667
2012-08-10,29.903684985899048,30.22216796875,29.774934181075945,30.22216796875,8546500,0.0,0.0,4.166666666666667
2012-08-13,30.113740031057333,30.154398577696128,29.951111014385376,29.998544692993164,6282900,0.0,0.0,4.166666666666667
2012-08-14,30.04598831475309,30.113749996633917,29.842700684168136,30.039213180541992,8920200,0.0,0.0,4.166666666666667
2012-08-15,29.917240444781925,30.032435822352376,29.78848962874142,29.94434356689453,7008300,0.0,0.0,4.166666666666667
2012-08-16,29.890125044906476,29.9511115735324,29.66650691163087,29.896900177001953,8713800,0.0,0.0,4.166666666666667
2012-08-17,29.94435572801921,29.971461446082603,29.795279448557658,29.856266021728516,9489000,0.0,0.0,4.166666666666667
