Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Revenue,Earnings
2012-02-09,,,,,,,,4.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-07,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-10,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-10,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-11,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-11,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-22,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-13,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-09,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-10,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-16,,,,,,,,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-07,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-10,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-09,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-05,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-09,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-14,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-10,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-20,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
