Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Common Stock,Revenue,Earnings
2012-06-21,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-22,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-27,,,,,,,,3.411764705882353,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-29,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-27,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-31,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-01,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-09,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-20,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-31,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-04,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-07,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-21,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-24,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-05,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-08,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-18,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-24,,,,,,,,4.428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-26,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-19,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-26,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-27,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-19,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-02,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-14,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-22,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-28,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-29,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,,,,,,,,3.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-11,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-12,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-19,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-03,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-05,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-26,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-30,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-10,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-21,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-10,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-25,,,,,,,,4.142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-26,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-05,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-19,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-20,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-30,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-05,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-06,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-12,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-18,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-19,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-20,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-24,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-25,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-26,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-27,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-03,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-04,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
