Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,To Grade,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Revenue,Earnings
2012-03-16,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-19,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-22,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-03,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-20,,,,,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-20,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-08-20,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-09-12,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-19,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-05,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-12,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-13,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-14,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-07,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-10,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-11,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-18,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-25,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-04,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-10,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-11,,,,,,,,2.3333333333333335,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-12,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-25,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-15,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-28,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-19,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-29,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-08,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-13,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-22,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-26,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-04,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-15,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-06,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-18,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-19,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-27,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-04,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-18,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-19,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-14,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-22,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-25,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
